,object_id,creation_time,creation_source,last_session_creation_time,opted_in_to_mailing_list,enabled_for_marketing_drip,org_id,invited_by_user_id,label
0,1,2014-04-22 03:53:30,GUEST_INVITE,1398138810.0,1,0,11,10803.0,not adopted
1,2,2013-11-15 03:45:04,ORG_INVITE,1396237504.0,0,0,1,316.0,adopted
2,3,2013-03-19 23:14:52,ORG_INVITE,1363734892.0,0,0,94,1525.0,not adopted
3,4,2013-05-21 08:09:28,GUEST_INVITE,1369210168.0,0,0,1,5151.0,not adopted
4,5,2013-01-17 10:14:20,GUEST_INVITE,1358849660.0,0,0,193,5240.0,not adopted
5,6,2013-12-17 03:37:06,GUEST_INVITE,1387424226.0,0,0,197,11241.0,not adopted
6,7,2012-12-16 13:24:32,SIGNUP,1356009872.0,0,1,37,,not adopted
7,8,2013-07-31 05:34:02,PERSONAL_PROJECTS,,1,1,74,,
8,9,2013-11-05 04:04:24,PERSONAL_PROJECTS,,0,0,302,,
9,10,2013-01-16 22:08:03,ORG_INVITE,1401833283.0,1,1,318,4143.0,adopted
10,11,2013-12-26 03:55:54,SIGNUP,1388116554.0,0,0,69,,not adopted
11,12,2014-04-17 23:48:38,ORG_INVITE,,0,0,130,9270.0,
12,13,2014-03-30 16:19:38,ORG_INVITE,1396196378.0,0,0,254,11204.0,not adopted
13,14,2012-10-11 16:14:33,SIGNUP,1350058473.0,0,0,0,,not adopted
14,15,2013-07-16 21:33:54,PERSONAL_PROJECTS,,0,0,175,,
15,16,2013-02-11 10:09:50,PERSONAL_PROJECTS,,0,0,211,,
16,17,2014-04-09 14:39:38,GUEST_INVITE,1397313578.0,1,0,175,1600.0,not adopted
17,18,2013-08-24 00:26:46,GUEST_INVITE,,0,0,2,3153.0,
18,19,2013-05-24 14:56:36,SIGNUP,1369925796.0,1,0,0,,not adopted
19,20,2014-03-06 11:46:38,SIGNUP,1401363998.0,0,0,58,,adopted
20,21,2013-01-22 12:27:42,PERSONAL_PROJECTS,1358857662.0,0,0,54,,not adopted
21,22,2014-02-10 06:00:46,ORG_INVITE,1392012046.0,0,0,7,2994.0,not adopted
22,23,2012-08-17 08:30:27,ORG_INVITE,1345278627.0,1,0,6,23.0,not adopted
23,24,2013-09-09 22:20:03,SIGNUP,1378765203.0,1,0,123,,not adopted
24,25,2014-02-25 00:11:13,GUEST_INVITE,1393373473.0,1,0,81,6312.0,not adopted
25,26,2013-07-28 00:53:32,ORG_INVITE,,0,0,56,11857.0,
26,27,2014-01-14 17:35:11,ORG_INVITE,1389807311.0,0,0,134,4189.0,not adopted
27,28,2013-02-11 20:00:25,SIGNUP,1360872025.0,0,0,6,,not adopted
28,29,2013-09-16 02:08:41,SIGNUP,1379383721.0,0,0,92,,not adopted
29,30,2013-06-04 00:44:25,GUEST_INVITE,1370306665.0,0,0,251,4835.0,not adopted
30,31,2014-01-23 05:21:42,SIGNUP,1390540902.0,0,0,283,,not adopted
31,32,2013-04-17 16:21:30,PERSONAL_PROJECTS,,1,1,98,,
32,33,2014-03-11 06:29:09,GUEST_INVITE,1401517749.0,0,0,401,79.0,adopted
33,34,2014-02-03 20:55:18,ORG_INVITE,,0,0,33,3721.0,
34,35,2013-08-01 10:55:26,PERSONAL_PROJECTS,,0,0,59,,
35,36,2013-08-06 09:08:15,GUEST_INVITE,1375780095.0,1,0,109,6805.0,not adopted
36,37,2012-09-25 14:37:23,SIGNUP,1348670243.0,0,0,276,,not adopted
37,38,2014-05-25 06:59:56,PERSONAL_PROJECTS,,0,0,208,,
38,39,2013-09-10 23:09:40,ORG_INVITE,,1,0,332,3335.0,
39,40,2014-05-26 10:29:03,GUEST_INVITE,,0,0,2,5377.0,
40,41,2014-04-30 23:38:17,ORG_INVITE,1398901097.0,0,0,64,9286.0,not adopted
41,42,2012-11-11 19:05:07,SIGNUP,1401044707.0,1,0,235,,adopted
